urn:cts:greekLit:tlg0012.tlg001.omar:1.1	μῆνιν ἄειδε θεὰ Πηληϊάδεω ̓Αχιλῆος
urn:cts:greekLit:tlg0012.tlg001.omar:1.2	οὐλομένην, ἣ μυρί' ̓Αχαιοῖς ἄλγε' ἔθηκε,
urn:cts:greekLit:tlg0012.tlg001.omar:1.3	πολλὰς δ' ἰφθίμους ψυχὰς ̓́Αϊδι προί̈αψεν
urn:cts:greekLit:tlg0012.tlg001.omar:1.4	ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν
urn:cts:greekLit:tlg0012.tlg001.omar:1.5	οἰωνοῖσί τε πᾶσι, Διὸς δ' ἐτελείετο βουλή,
urn:cts:greekLit:tlg0012.tlg001.omar:1.6	ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
urn:cts:greekLit:tlg0012.tlg001.omar:1.7	̓Ατρεί̈δης τε ἄναξ ἀνδρῶν καὶ δῖος ̓Αχιλλεύς.
urn:cts:greekLit:tlg0012.tlg001.omar:1.8	τίς τ' ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
urn:cts:greekLit:tlg0012.tlg001.omar:1.9	Λητοῦς καὶ Διὸς υἱός: ὃ γὰρ βασιλῆϊ χολωθεὶς
urn:cts:greekLit:tlg0012.tlg001.omar:1.10	νοῦσον ἀνὰ στρατὸν ὄρσε κακήν, ὀλέκοντο δὲ λαοί,
urn:cts:greekLit:tlg0012.tlg001.omar:1.11	οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
urn:cts:greekLit:tlg0012.tlg001.omar:1.12	̓Ατρεί̈δης: ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας ̓Αχαιῶν
urn:cts:greekLit:tlg0012.tlg001.omar:1.13	λυσόμενός τε θύγατρα φέρων τ' ἀπερείσι' ἄποινα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.14	στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου ̓Απόλλωνος
urn:cts:greekLit:tlg0012.tlg001.omar:1.15	χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας ̓Αχαιούς,
urn:cts:greekLit:tlg0012.tlg001.omar:1.16	̓Ατρεί̈δα δὲ μάλιστα δύω, κοσμήτορε λαῶν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.17	̓Ατρεί̈δαι τε καὶ ἄλλοι ἐϋκνήμιδες ̓Αχαιοί,
urn:cts:greekLit:tlg0012.tlg001.omar:1.18	ὑμῖν μὲν θεοὶ δοῖεν ̓Ολύμπια δώματ' ἔχοντες
urn:cts:greekLit:tlg0012.tlg001.omar:1.19	ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ' οἴκαδ' ἱκέσθαι:
urn:cts:greekLit:tlg0012.tlg001.omar:1.20	παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ' ἄποινα δέχεσθαι,
urn:cts:greekLit:tlg0012.tlg001.omar:1.21	ἁζόμενοι Διὸς υἱὸν ἑκηβόλον ̓Απόλλωνα.
urn:cts:greekLit:tlg0012.tlg001.omar:1.22	ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν ̓Αχαιοὶ
urn:cts:greekLit:tlg0012.tlg001.omar:1.23	αἰδεῖσθαί θ' ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα:
urn:cts:greekLit:tlg0012.tlg001.omar:1.24	ἀλλ' οὐκ ̓Ατρεί̈δῃ ̓Αγαμέμνονι ἥνδανε θυμῷ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.25	ἀλλὰ κακῶς ἀφίει, κρατερὸν δ' ἐπὶ μῦθον ἔτελλε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.26	μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω
urn:cts:greekLit:tlg0012.tlg001.omar:1.27	ἢ νῦν δηθύνοντ' ἢ ὕστερον αὖτις ἰόντα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.28	μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο:
urn:cts:greekLit:tlg0012.tlg001.omar:1.29	τὴν δ' ἐγὼ οὐ λύσω: πρίν μιν καὶ γῆρας ἔπεισιν
urn:cts:greekLit:tlg0012.tlg001.omar:1.30	ἡμετέρῳ ἐνὶ οἴκῳ ἐν ̓́Αργεϊ τηλόθι πάτρης
urn:cts:greekLit:tlg0012.tlg001.omar:1.31	ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.32	ἀλλ' ἴθι μή μ' ἐρέθιζε σαώτερος ὥς κε νέηαι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.33	ὣς ἔφατ', ἔδεισεν δ' ὃ γέρων καὶ ἐπείθετο μύθῳ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.34	βῆ δ' ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης:
urn:cts:greekLit:tlg0012.tlg001.omar:1.35	πολλὰ δ' ἔπειτ' ἀπάνευθε κιὼν ἠρᾶθ' ὃ γεραιὸς
urn:cts:greekLit:tlg0012.tlg001.omar:1.36	̓Απόλλωνι ἄνακτι, τὸν ἠύ̈κομος τέκε Λητώ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.37	κλῦθί μευ ἀργυρότοξ', ὃς Χρύσην ἀμφιβέβηκας
urn:cts:greekLit:tlg0012.tlg001.omar:1.38	Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,
urn:cts:greekLit:tlg0012.tlg001.omar:1.39	Σμινθεῦ εἴ ποτέ τοι χαρίεντ' ἐπὶ νηὸν ἔρεψα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.40	ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί' ἔκηα
urn:cts:greekLit:tlg0012.tlg001.omar:1.41	ταύρων ἠδ' αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.42	τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.43	ὣς ἔφατ' εὐχόμενος, τοῦ δ' ἔκλυε Φοῖβος ̓Απόλλων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.44	βῆ δὲ κατ' Οὐλύμποιο καρήνων χωόμενος κῆρ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.45	τόξ' ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην:
urn:cts:greekLit:tlg0012.tlg001.omar:1.46	ἔκλαγξαν δ' ἄρ' ὀϊστοὶ ἐπ' ὤμων χωομένοιο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.47	αὐτοῦ κινηθέντος: ὃ δ' ἤϊε νυκτὶ ἐοικώς.
urn:cts:greekLit:tlg0012.tlg001.omar:1.48	ἕζετ' ἔπειτ' ἀπάνευθε νεῶν, μετὰ δ' ἰὸν ἕηκε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.49	δεινὴ δὲ κλαγγὴ γένετ' ἀργυρέοιο βιοῖο:
urn:cts:greekLit:tlg0012.tlg001.omar:1.50	οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,
urn:cts:greekLit:tlg0012.tlg001.omar:1.51	αὐτὰρ ἔπειτ' αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς
urn:cts:greekLit:tlg0012.tlg001.omar:1.52	βάλλ': αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.
urn:cts:greekLit:tlg0012.tlg001.omar:1.53	ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.54	τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν ̓Αχιλλεύς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.55	τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος ̔́Ηρη:
urn:cts:greekLit:tlg0012.tlg001.omar:1.56	κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.
urn:cts:greekLit:tlg0012.tlg001.omar:1.57	οἳ δ' ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,
urn:cts:greekLit:tlg0012.tlg001.omar:1.58	τοῖσι δ' ἀνιστάμενος μετέφη πόδας ὠκὺς ̓Αχιλλεύς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.59	̓Ατρεί̈δη νῦν ἄμμε παλιμπλαγχθέντας ὀί̈ω
urn:cts:greekLit:tlg0012.tlg001.omar:1.60	ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.61	εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς ̓Αχαιούς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.62	ἀλλ' ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα
urn:cts:greekLit:tlg0012.tlg001.omar:1.63	ἢ καὶ ὀνειροπόλον, καὶ γάρ τ' ὄναρ ἐκ Διός ἐστιν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.64	ὅς κ' εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος ̓Απόλλων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.65	εἴτ' ἄρ' ὅ γ' εὐχωλῆς ἐπιμέμφεται ἠδ' ἑκατόμβης,
urn:cts:greekLit:tlg0012.tlg001.omar:1.66	αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων
urn:cts:greekLit:tlg0012.tlg001.omar:1.67	βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.68	ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο: τοῖσι δ' ἀνέστη
urn:cts:greekLit:tlg0012.tlg001.omar:1.69	Κάλχας Θεστορίδης οἰωνοπόλων ὄχ' ἄριστος,
urn:cts:greekLit:tlg0012.tlg001.omar:1.70	ὃς ᾔδη τά τ' ἐόντα τά τ' ἐσσόμενα πρό τ' ἐόντα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.71	καὶ νήεσς' ἡγήσατ' ̓Αχαιῶν ̓́Ιλιον εἴσω
urn:cts:greekLit:tlg0012.tlg001.omar:1.72	ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος ̓Απόλλων:
urn:cts:greekLit:tlg0012.tlg001.omar:1.73	ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.74	ὦ ̓Αχιλεῦ κέλεαί με Διὶ̈ φίλε μυθήσασθαι
urn:cts:greekLit:tlg0012.tlg001.omar:1.75	μῆνιν ̓Απόλλωνος ἑκατηβελέταο ἄνακτος:
urn:cts:greekLit:tlg0012.tlg001.omar:1.76	τοὶ γὰρ ἐγὼν ἐρέω: σὺ δὲ σύνθεο καί μοι ὄμοσσον
urn:cts:greekLit:tlg0012.tlg001.omar:1.77	ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.78	ἦ γὰρ ὀί̈ομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων
urn:cts:greekLit:tlg0012.tlg001.omar:1.79	̓Αργείων κρατέει καί οἱ πείθονται ̓Αχαιοί:
urn:cts:greekLit:tlg0012.tlg001.omar:1.80	κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηϊ:
urn:cts:greekLit:tlg0012.tlg001.omar:1.81	εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.82	ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,
urn:cts:greekLit:tlg0012.tlg001.omar:1.83	ἐν στήθεσσιν ἑοῖσι: σὺ δὲ φράσαι εἴ με σαώσεις.
urn:cts:greekLit:tlg0012.tlg001.omar:1.84	τὸν δ' ἀπαμειβόμενος προσέφη πόδας ὠκὺς ̓Αχιλλεύς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.85	θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα:
urn:cts:greekLit:tlg0012.tlg001.omar:1.86	οὐ μὰ γὰρ ̓Απόλλωνα Διὶ̈ φίλον, ᾧ τε σὺ Κάλχαν
urn:cts:greekLit:tlg0012.tlg001.omar:1.87	εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,
urn:cts:greekLit:tlg0012.tlg001.omar:1.88	οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο
urn:cts:greekLit:tlg0012.tlg001.omar:1.89	σοὶ κοίλῃς παρὰ νηυσί βαρείας χεῖρας ἐποίσει
urn:cts:greekLit:tlg0012.tlg001.omar:1.90	συμπάντων Δαναῶν, οὐδ' ἢν ̓Αγαμέμνονα εἴπῃς,
urn:cts:greekLit:tlg0012.tlg001.omar:1.91	ὃς νῦν πολλὸν ἄριστος ̓Αχαιῶν εὔχεται εἶναι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.92	καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων:
urn:cts:greekLit:tlg0012.tlg001.omar:1.93	οὔ τ' ἄρ ὅ γ' εὐχωλῆς ἐπιμέμφεται οὐδ' ἑκατόμβης,
urn:cts:greekLit:tlg0012.tlg001.omar:1.94	ἀλλ' ἕνεκ' ἀρητῆρος ὃν ἠτίμης' ̓Αγαμέμνων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.95	οὐδ' ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ' ἄποινα,
urn:cts:greekLit:tlg0012.tlg001.omar:1.96	τοὔνεκ' ἄρ' ἄλγε' ἔδωκεν ἑκηβόλος ἠδ' ἔτι δώσει:
urn:cts:greekLit:tlg0012.tlg001.omar:1.97	οὐδ' ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει
urn:cts:greekLit:tlg0012.tlg001.omar:1.98	πρίν γ' ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην
urn:cts:greekLit:tlg0012.tlg001.omar:1.99	ἀπριάτην ἀνάποινον, ἄγειν θ' ἱερὴν ἑκατόμβην
urn:cts:greekLit:tlg0012.tlg001.omar:1.100	ἐς Χρύσην: τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.101	ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο: τοῖσι δ' ἀνέστη
urn:cts:greekLit:tlg0012.tlg001.omar:1.102	ἥρως ̓Ατρεί̈δης εὐρὺ κρείων ̓Αγαμέμνων
urn:cts:greekLit:tlg0012.tlg001.omar:1.103	ἀχνύμενος: μένεος δὲ μέγα φρένες ἀμφιμέλαιναι
urn:cts:greekLit:tlg0012.tlg001.omar:1.104	πίμπλαντ', ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐί̈κτην:
urn:cts:greekLit:tlg0012.tlg001.omar:1.105	Κάλχαντα πρώτιστα κάκ' ὀσσόμενος προσέειπε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.106	μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας:
urn:cts:greekLit:tlg0012.tlg001.omar:1.107	αἰεί τοι τὰ κάκ' ἐστὶ φίλα φρεσὶ μαντεύεσθαι,
urn:cts:greekLit:tlg0012.tlg001.omar:1.108	ἐσθλὸν δ' οὔτέ τί πω εἶπας ἔπος οὔτ' ἐτέλεσσας:
urn:cts:greekLit:tlg0012.tlg001.omar:1.109	καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις
urn:cts:greekLit:tlg0012.tlg001.omar:1.110	ὡς δὴ τοῦδ' ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,
urn:cts:greekLit:tlg0012.tlg001.omar:1.111	οὕνεκ' ἐγὼ κούρης Χρυσηί̈δος ἀγλά' ἄποινα
urn:cts:greekLit:tlg0012.tlg001.omar:1.112	οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν
urn:cts:greekLit:tlg0012.tlg001.omar:1.113	οἴκοι ἔχειν: καὶ γάρ ῥα Κλυταιμνήστρης προβέβουλα
urn:cts:greekLit:tlg0012.tlg001.omar:1.114	κουριδίης ἀλόχου, ἐπεὶ οὔ ἑθέν ἐστι χερείων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.115	οὐ δέμας οὐδὲ φυήν, οὔτ' ἂρ φρένας οὔτέ τι ἔργα.
urn:cts:greekLit:tlg0012.tlg001.omar:1.116	ἀλλὰ καὶ ὧς ἐθέλω δόμεναι πάλιν εἰ τό γ' ἄμεινον:
urn:cts:greekLit:tlg0012.tlg001.omar:1.117	βούλομ' ἐγὼ λαὸν σῶν ἔμμεναι ἢ ἀπολέσθαι:
urn:cts:greekLit:tlg0012.tlg001.omar:1.118	αὐτὰρ ἐμοὶ γέρας αὐτίχ' ἑτοιμάσατ' ὄφρα μὴ οἶος
urn:cts:greekLit:tlg0012.tlg001.omar:1.119	̓Αργείων ἀγέραστος ἔω, ἐπεὶ οὐδὲ ἔοικε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.120	λεύσσετε γὰρ τό γε πάντες ὅ μοι γέρας ἔρχεται ἄλλῃ.
urn:cts:greekLit:tlg0012.tlg001.omar:1.121	τὸν δ' ἠμείβετ' ἔπειτα ποδάρκης δῖος ̓Αχιλλεύς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.122	̓Ατρεί̈δη κύδιστε φιλοκτεανώτατε πάντων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.123	πῶς γάρ τοι δώσουσι γέρας μεγάθυμοι ̓Αχαιοί;
urn:cts:greekLit:tlg0012.tlg001.omar:1.124	οὐδέ τί που ἴδμεν ξυνήϊα κείμενα πολλά:
urn:cts:greekLit:tlg0012.tlg001.omar:1.125	ἀλλὰ τὰ μὲν πολίων ἐξεπράθομεν, τὰ δέδασται,
urn:cts:greekLit:tlg0012.tlg001.omar:1.126	λαοὺς δ' οὐκ ἐπέοικε παλίλλογα ταῦτ' ἐπαγείρειν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.127	ἀλλὰ σὺ μὲν νῦν τήνδε θεῷ πρόες: αὐτὰρ ̓Αχαιοὶ
urn:cts:greekLit:tlg0012.tlg001.omar:1.128	τριπλῇ τετραπλῇ τ' ἀποτείσομεν, αἴ κέ ποθι Ζεὺς
urn:cts:greekLit:tlg0012.tlg001.omar:1.129	δῷσι πόλιν Τροίην εὐτείχεον ἐξαλαπάξαι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.130	τὸν δ' ἀπαμειβόμενος προσέφη κρείων ̓Αγαμέμνων:
urn:cts:greekLit:tlg0012.tlg001.omar:1.131	μὴ δ' οὕτως ἀγαθός περ ἐὼν θεοείκελ' ̓Αχιλλεῦ
urn:cts:greekLit:tlg0012.tlg001.omar:1.132	κλέπτε νόῳ, ἐπεὶ οὐ παρελεύσεαι οὐδέ με πείσεις.
urn:cts:greekLit:tlg0012.tlg001.omar:1.133	ἦ ἐθέλεις ὄφρ' αὐτὸς ἔχῃς γέρας, αὐτὰρ ἔμ' αὔτως
urn:cts:greekLit:tlg0012.tlg001.omar:1.134	ἧσθαι δευόμενον, κέλεαι δέ με τήνδ' ἀποδοῦναι;
urn:cts:greekLit:tlg0012.tlg001.omar:1.135	ἀλλ' εἰ μὲν δώσουσι γέρας μεγάθυμοι ̓Αχαιοὶ
urn:cts:greekLit:tlg0012.tlg001.omar:1.136	ἄρσαντες κατὰ θυμὸν ὅπως ἀντάξιον ἔσται:
urn:cts:greekLit:tlg0012.tlg001.omar:1.137	εἰ δέ κε μὴ δώωσιν ἐγὼ δέ κεν αὐτὸς ἕλωμαι
urn:cts:greekLit:tlg0012.tlg001.omar:1.138	ἢ τεὸν ἢ Αἴαντος ἰὼν γέρας, ἢ ̓Οδυσῆος
urn:cts:greekLit:tlg0012.tlg001.omar:1.139	ἄξω ἑλών: ὃ δέ κεν κεχολώσεται ὅν κεν ἵκωμαι.
urn:cts:greekLit:tlg0012.tlg001.omar:1.140	ἀλλ' ἤτοι μὲν ταῦτα μεταφρασόμεσθα καὶ αὖτις,
urn:cts:greekLit:tlg0012.tlg001.omar:1.141	νῦν δ' ἄγε νῆα μέλαιναν ἐρύσσομεν εἰς ἅλα δῖαν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.142	ἐν δ' ἐρέτας ἐπιτηδὲς ἀγείρομεν, ἐς δ' ἑκατόμβην
urn:cts:greekLit:tlg0012.tlg001.omar:1.143	θείομεν, ἂν δ' αὐτὴν Χρυσηί̈δα καλλιπάρῃον
urn:cts:greekLit:tlg0012.tlg001.omar:1.144	βήσομεν: εἷς δέ τις ἀρχὸς ἀνὴρ βουληφόρος ἔστω,
urn:cts:greekLit:tlg0012.tlg001.omar:1.145	ἢ Αἴας ἢ ̓Ιδομενεὺς ἢ δῖος ̓Οδυσσεὺς
urn:cts:greekLit:tlg0012.tlg001.omar:1.146	ἠὲ σὺ Πηλεί̈δη πάντων ἐκπαγλότατ' ἀνδρῶν,
urn:cts:greekLit:tlg0012.tlg001.omar:1.147	ὄφρ' ἥμιν ἑκάεργον ἱλάσσεαι ἱερὰ ῥέξας.
urn:cts:greekLit:tlg0012.tlg001.omar:1.148	τὸν δ' ἄρ' ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς ̓Αχιλλεύς:
urn:cts:greekLit:tlg0012.tlg001.omar:1.149	ὤ μοι ἀναιδείην ἐπιειμένε κερδαλεόφρον
urn:cts:greekLit:tlg0012.tlg001.omar:1.150	πῶς τίς τοι πρόφρων ἔπεσιν πείθηται ̓Αχαιῶν
urn:cts:greekLit:tlg0012.tlg001.omar:1.151	ἢ ὁδὸν ἐλθέμεναι ἢ ἀνδράσιν ἶφι μάχεσθαι;
urn:cts:greekLit:tlg0012.tlg001.omar:1.152	οὐ γὰρ ἐγὼ Τρώων ἕνεκ' ἤλυθον αἰχμητάων
urn:cts:greekLit:tlg0012.tlg001.omar:1.153	δεῦρο μαχησόμενος, ἐπεὶ οὔ τί μοι αἴτιοί εἰσιν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.154	οὐ γὰρ πώποτ' ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,
urn:cts:greekLit:tlg0012.tlg001.omar:1.155	οὐδέ ποτ' ἐν Φθίῃ ἐριβώλακι βωτιανείρῃ
urn:cts:greekLit:tlg0012.tlg001.omar:1.156	καρπὸν ἐδηλήσαντ', ἐπεὶ ἦ μάλα πολλὰ μεταξὺ
urn:cts:greekLit:tlg0012.tlg001.omar:1.157	οὔρεά τε σκιόεντα θάλασσά τε ἠχήεσσα:
urn:cts:greekLit:tlg0012.tlg001.omar:1.158	ἀλλὰ σοὶ ὦ μέγ' ἀναιδὲς ἅμ' ἑσπόμεθ' ὄφρα σὺ χαίρῃς,
urn:cts:greekLit:tlg0012.tlg001.omar:1.159	τιμὴν ἀρνύμενοι Μενελάῳ σοί τε κυνῶπα
urn:cts:greekLit:tlg0012.tlg001.omar:1.160	πρὸς Τρώων: τῶν οὔ τι μετατρέπῃ οὐδ' ἀλεγίζεις:
urn:cts:greekLit:tlg0012.tlg001.omar:1.161	καὶ δή μοι γέρας αὐτὸς ἀφαιρήσεσθαι ἀπειλεῖς,
urn:cts:greekLit:tlg0012.tlg001.omar:1.162	ᾧ ἔπι πολλὰ μόγησα, δόσαν δέ μοι υἷες ̓Αχαιῶν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.163	οὐ μὲν σοί ποτε ἶσον ἔχω γέρας ὁππότ' ̓Αχαιοὶ
urn:cts:greekLit:tlg0012.tlg001.omar:1.164	Τρώων ἐκπέρσως' εὖ ναιόμενον πτολίεθρον:
urn:cts:greekLit:tlg0012.tlg001.omar:1.165	ἀλλὰ τὸ μὲν πλεῖον πολυάϊκος πολέμοιο
urn:cts:greekLit:tlg0012.tlg001.omar:1.166	χεῖρες ἐμαὶ διέπους': ἀτὰρ ἤν ποτε δασμὸς ἵκηται,
urn:cts:greekLit:tlg0012.tlg001.omar:1.167	σοὶ τὸ γέρας πολὺ μεῖζον, ἐγὼ δ' ὀλίγον τε φίλον τε
urn:cts:greekLit:tlg0012.tlg001.omar:1.168	ἔρχομ' ἔχων ἐπὶ νῆας, ἐπεί κε κάμω πολεμίζων.
urn:cts:greekLit:tlg0012.tlg001.omar:1.169	νῦν δ' εἶμι Φθίην δ', ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν
urn:cts:greekLit:tlg0012.tlg001.omar:1.170	οἴκαδ' ἴμεν σὺν νηυσὶ κορωνίσιν, οὐδέ ς' ὀί̈ω
urn:cts:greekLit:tlg0012.tlg001.omar:1.171	ἐνθάδ' ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν.
urn:cts:greekLit:tlg0012.tlg001.omar:1.172	τὸν δ' ἠμείβετ' ἔπειτα ἄναξ ἀνδρῶν ̓Αγαμέμνων:
urn:cts:greekLit:tlg0012.tlg001.omar:1.173	φεῦγε μάλ' εἴ τοι θυμὸς ἐπέσσυται, οὐδέ ς' ἔγωγε
urn:cts:greekLit:tlg0012.tlg001.omar:1.174	λίσσομαι εἵνεκ' ἐμεῖο μένειν: πάρ' ἔμοιγε καὶ ἄλλοι
urn:cts:greekLit:tlg0012.tlg001.omar:1.175	οἵ κέ με τιμήσουσι, μάλιστα δὲ μητίετα Ζεύς.
urn:cts:greekLit:tlg0012.tlg001.omar:1.176	ἔχθιστος δέ μοί ἐσσι διοτρεφέων βασιλήων:
urn:cts:greekLit:tlg0012.tlg001.omar:1.177	αἰεὶ γάρ τοι ἔρις τε φίλη πόλεμοί τε μάχαι τε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.178	εἰ μάλα καρτερός ἐσσι, θεός που σοὶ τό γ' ἔδωκεν:
urn:cts:greekLit:tlg0012.tlg001.omar:1.179	οἴκαδ' ἰὼν σὺν νηυσί τε σῇς καὶ σοῖς ἑτάροισι
urn:cts:greekLit:tlg0012.tlg001.omar:1.180	Μυρμιδόνεσσιν ἄνασσε, σέθεν δ' ἐγὼ οὐκ ἀλεγίζω,
urn:cts:greekLit:tlg0012.tlg001.omar:1.181	οὐδ' ὄθομαι κοτέοντος: ἀπειλήσω δέ τοι ὧδε:
urn:cts:greekLit:tlg0012.tlg001.omar:1.182	ὡς ἔμ' ἀφαιρεῖται Χρυσηί̈δα Φοῖβος ̓Απόλλων,
urn:cts:greekLit:tlg0012.tlg001.omar:1.183	τὴν μὲν ἐγὼ σὺν νηί̈ τ' ἐμῇ καὶ ἐμοῖς ἑτάροισι
urn:cts:greekLit:tlg0012.tlg001.omar:1.184	πέμψω, ἐγὼ δέ κ' ἄγω Βρισηί̈δα καλλιπάρῃον
